REGION_ID,YEAR,TIMESLICE,value
1,2050,198,62567
1,2050,199,68354
1,2050,200,70834
1,2050,201,70867
1,2050,202,69505
1,2050,203,68841
1,2050,204,68881
1,2050,205,68877
1,2050,206,67885
1,2050,207,66283
1,2050,208,67322
1,2050,209,70942
1,2050,210,74033
1,2050,211,72915
1,2050,212,70698
1,2050,213,70557
1,2050,214,73327
1,2050,215,72828
1,2050,216,68534
1,2050,217,67946
1,2050,218,64710
1,2050,219,63125
1,2050,220,59377
1,2050,221,55877
1,2050,222,61901
1,2050,223,68050
1,2050,224,71003
1,2050,225,71519
1,2050,226,70422
1,2050,227,69933
1,2050,228,70090
1,2050,229,70188
1,2050,230,69310
1,2050,231,67862
1,2050,232,69026
1,2050,233,72719
1,2050,234,75763
1,2050,235,74890
1,2050,236,72599
1,2050,237,72222
1,2050,238,74980
1,2050,239,74410
1,2050,240,70060
1,2050,241,69382
1,2050,242,66009
1,2050,243,64229
1,2050,244,60249
1,2050,245,56523
1,2050,246,62214
1,2050,247,68034
1,2050,248,70678
1,2050,249,71010
1,2050,250,69972
1,2050,251,69573
1,2050,252,69819
1,2050,253,70009
1,2050,254,69206
1,2050,255,67821
1,2050,256,68753
1,2050,257,72223
1,2050,258,75111
1,2050,259,74253
1,2050,260,71974
1,2050,261,71696
1,2050,262,74511
1,2050,263,74020
1,2050,264,70509
1,2050,265,70022
1,2050,266,66840
1,2050,267,65249
1,2050,268,61494
1,2050,269,57773
1,2050,270,63588
1,2050,271,69680
1,2050,272,71903
1,2050,273,72169
1,2050,274,70769
1,2050,275,70139
1,2050,276,70145
1,2050,277,70140
1,2050,278,69181
1,2050,279,67762
1,2050,280,68120
1,2050,281,71538
1,2050,282,74278
1,2050,283,73884
1,2050,284,72270
1,2050,285,72502
1,2050,286,75895
1,2050,287,75633
1,2050,288,66713
1,2050,289,65629
1,2050,290,62826
1,2050,291,60801
1,2050,292,57570
1,2050,293,54174
1,2050,294,55978
1,2050,295,58522
1,2050,296,61735
1,2050,297,64261
1,2050,298,63855
1,2050,299,63237
1,2050,300,64339
1,2050,301,62938
1,2050,302,61062
1,2050,303,59346
1,2050,304,59828
1,2050,305,63242
1,2050,306,66794
1,2050,307,67054
1,2050,308,65398
1,2050,309,64629
1,2050,310,68028
1,2050,311,69121
1,2050,312,67050
1,2050,313,66261
1,2050,314,63429
1,2050,315,61040
1,2050,316,57277
1,2050,317,53060
1,2050,318,53763
1,2050,319,54969
1,2050,320,57776
1,2050,321,60890
1,2050,322,61998
1,2050,323,62559
1,2050,324,63934
1,2050,325,62524
1,2050,326,60502
1,2050,327,58985
1,2050,328,59157
1,2050,329,62333
1,2050,330,65831
1,2050,331,66946
1,2050,332,66300
1,2050,333,65777
1,2050,334,68407
1,2050,335,69118
1,2050,336,71821
1,2050,337,72025
1,2050,338,69236
1,2050,339,67797
1,2050,340,64381
1,2050,341,61481
1,2050,342,67831
1,2050,343,74014
1,2050,344,76720
1,2050,345,77388
1,2050,346,76053
1,2050,347,75403
1,2050,348,75278
1,2050,349,75593
1,2050,350,74633
1,2050,351,73211
1,2050,352,74366
1,2050,353,77890
1,2050,354,81616
1,2050,355,80977
1,2050,356,78846
1,2050,357,78274
1,2050,358,81557
1,2050,359,81110
1,2050,360,78001
1,2050,361,77952
1,2050,362,75010
1,2050,363,73430
1,2050,364,69730
1,2050,365,66332
1,2050,366,72448
1,2050,367,78231
1,2050,368,80543
1,2050,369,80709
1,2050,370,79158
1,2050,371,78209
1,2050,372,77810
1,2050,373,77567
1,2050,374,76262
1,2050,375,74609
1,2050,376,75597
1,2050,377,79017
1,2050,378,83020
1,2050,379,82613
1,2050,380,80259
1,2050,381,79893
1,2050,382,83113
1,2050,383,82750
1,2050,384,79090
1,2050,385,79054
1,2050,386,76107
1,2050,387,74498
1,2050,388,70760
1,2050,389,67360
1,2050,390,73502
1,2050,391,79368
1,2050,392,81832
1,2050,393,82183
1,2050,394,80662
1,2050,395,79628
1,2050,396,79074
1,2050,397,78971
1,2050,398,77787
1,2050,399,76279
1,2050,400,77278
1,2050,401,80662
1,2050,402,84568
1,2050,403,83796
1,2050,404,81462
1,2050,405,81110
1,2050,406,84324
1,2050,407,83957
1,2050,408,80360
1,2050,409,80376
1,2050,410,77471
1,2050,411,75880
1,2050,412,72163
1,2050,413,68833
1,2050,414,75101
1,2050,415,81158
1,2050,416,83902
1,2050,417,84549
1,2050,418,83593
1,2050,419,83071
1,2050,420,83009
1,2050,421,83043
1,2050,422,81940
1,2050,423,80561
1,2050,424,81455
1,2050,425,84559
1,2050,426,87927
1,2050,427,86985
1,2050,428,84377
1,2050,429,83662
1,2050,430,86553
1,2050,431,85907
1,2050,432,82387
1,2050,433,82319
1,2050,434,79204
1,2050,435,77403
1,2050,436,73434
1,2050,437,69646
1,2050,438,75171
1,2050,439,80893
1,2050,440,83089
1,2050,441,83431
1,2050,442,82290
1,2050,443,81837
1,2050,444,81988
1,2050,445,81606
1,2050,446,80086
1,2050,447,78006
1,2050,448,78413
1,2050,449,81038
1,2050,450,83840
1,2050,451,82769
1,2050,452,80720
1,2050,453,80765
1,2050,454,84091
1,2050,455,83513
