sce,annualcost(bn),capex,inv_gen,inv_stor,inv_grid,opexfix,fix_gen,fix_stor,fix_grid,opexvar,var_gen,var_stor,var_startup,var_co2,var_exchange,nuc(GW),CCGT_new(GW),OCGT_new(GW),pv_large(GW),pv_small(GW),onshore(GW),offshore(GW),ires(GW),hydro_ror(GW),hydro_dam(GW),phs_power(GW),phs_energy(GWh),ptg_power(GW),battery1_power(GW),battery1_energy(GWh),battery4_power(GW),battery4_energy(GWh),battery8_power(GW),battery8_energy(GWh),import(GW),export(GW),nucpro(TWh),pvlargepro(TWh),pvsmallpro(TWh),onshorepro(TWh),offshorepro(TWh),gasccgtpro(TWh),gasocgtpro(TWh),hydro_rorpro(TWh),hydro_dampro(TWh),phs_char(TWh),phs_disc(TWh),ptg_char(TWh),ptg_disc(TWh),battery1_char(TWh),battery1_disc(TWh),battery4_char(TWh),battery4_disc(TWh),battery8_char(TWh),battery8_disc(TWh),excess&loss(TWh),exchange(TWh),demand(TWh),nucper,resper,fossilper,emission(MT),totalemission(MT),averageshadowprice(euro/MWh)
1,26.44,11.4,11.33,0.07,0.0,6.66,6.57,0.09,0.0,6.0,6.0,0.0,0.0,2.38,0.0,0.0,31.8,40.3,44.8,0.0,106.8,8.4,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4,0.0,247.4,31.6,120.0,9.5,41.7,16.7,-8.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,0.0,491,-0.0,0.751,0.249,44.98,88.75,33.48278137304575
2,26.32,11.66,11.25,0.41,0.0,6.51,6.4,0.11,0.0,5.84,5.84,0.0,0.0,2.32,0.0,0.0,30.9,34.2,45.9,0.0,103.0,11.1,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6,0.0,238.6,41.8,116.5,9.5,41.7,16.7,-7.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.9,0.0,491,-0.0,0.758,0.242,43.77,88.75,33.437932791816955
1_uc,27.51,11.54,11.47,0.07,0.0,6.8,6.71,0.09,0.0,6.59,6.5,0.0,0.08,2.58,0.0,0.0,31.8,45.5,44.8,0.0,106.8,8.4,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4,0.0,247.4,31.6,125.4,13.7,41.7,16.7,-13.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.5,0.0,491,-0.0,0.738,0.262,48.76,92.65,32.313853622521606
2_uc,26.66,11.79,11.39,0.41,0.0,6.64,6.53,0.11,0.0,5.9,5.85,0.0,0.05,2.33,0.0,0.0,30.9,39.3,45.9,0.0,103.0,11.1,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6,0.0,238.6,41.8,116.7,9.5,41.7,16.7,-8.1,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,0.0,491,-0.0,0.757,0.243,43.88,92.65,33.55601472704362
1,26.33,12.55,12.48,0.07,0.0,7.13,7.04,0.09,0.0,4.76,4.76,0.0,0.0,1.89,0.0,0.0,27.9,43.7,74.9,0.0,125.0,0.1,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,0.0,289.6,0.3,90.4,11.0,41.7,16.7,-11.4,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,0.0,491,-0.0,0.812,0.188,35.7,70.56,30.37095965278385
2,26.13,12.69,12.24,0.45,0.0,6.94,6.83,0.11,0.0,4.65,4.65,0.01,0.0,1.85,0.0,0.0,26.9,37.2,75.0,0.0,125.0,0.0,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,0.0,289.6,0.0,88.1,10.9,41.7,16.7,-10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.8,0.0,491,-0.0,0.816,0.184,34.86,70.56,30.606772415573257
1_uc,27.82,12.69,12.62,0.07,0.0,7.26,7.17,0.09,0.0,5.66,5.53,0.0,0.13,2.2,0.0,0.0,27.9,48.9,74.9,0.0,125.0,0.1,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,0.0,289.6,0.3,95.9,19.2,41.7,16.7,-16.5,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.6,0.0,491,-0.0,0.792,0.208,41.49,76.65,28.684847724070888
2_uc,26.54,12.84,12.38,0.45,0.0,7.07,6.96,0.11,0.0,4.77,4.69,0.01,0.07,1.86,0.0,0.0,26.9,42.4,75.0,0.0,125.0,0.0,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,0.0,289.6,0.0,88.8,10.9,41.7,16.7,-11.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.5,0.0,491,-0.0,0.814,0.186,35.16,76.65,30.752978091896452
1,27.32,15.05,14.98,0.07,0.0,7.9,7.81,0.09,0.0,3.12,3.12,0.0,0.0,1.24,0.0,0.0,22.1,49.3,100.0,0.0,125.0,15.0,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,56.5,53.4,11.4,41.7,16.7,-13.8,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.9,0.0,491,-0.0,0.89,0.11,23.44,44.48,24.142770687626964
2,26.93,15.42,14.57,0.85,0.0,7.58,7.46,0.12,0.0,2.81,2.8,0.01,0.0,1.12,0.0,0.0,19.2,39.7,100.0,0.0,125.0,15.0,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,56.5,46.2,11.4,41.7,16.7,-12.4,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.4,0.0,491,-0.0,0.901,0.099,21.05,44.48,24.24127293289851
